id	term	count
8247	manufacturing system	15
8248	study of	15
8249	simulation of	15
8250	and in	15
8251	a simple	15
8252	of high	15
8253	improvement of	15
8254	time to	15
8255	scheduling of	15
8256	previous work	15
8257	in wireless	15
8258	change of	15
8259	analysis method	15
8260	given to	15
8261	next generation	15
8262	aiming at	15
8263	potential of	15
8264	cloud and	15
8265	network architecture	15
8266	evaluated in	15
8267	complex and	15
8268	aim at	15
8269	introduces a	15
8270	in detail	15
8271	a parallel	15
8272	sensor data	15
8273	sensor in	15
8274	necessary to	15
8275	load balancing	15
8276	moreover a	15
8277	in modern	15
8278	framework in	15
8279	solution and	15
8280	optimization model	15
8281	subject to	15
8282	three-dimensional 3-d	15
8283	depends on	15
8284	proposed and	15
8285	a reliable	15
8286	cyber-physical system	15
8287	decision making	15
8288	idea of	15
8289	utility of	15
8290	significant improvement	15
8291	detection is	15
8292	estimation method	15
8293	and management	15
8294	and distributed	15
8295	data fusion	15
8296	solution of	15
8297	sensing data	15
8298	location and	15
8299	network environment	15
8300	network however	15
8301	and cost	15
8302	in practice	15
8303	by exploiting	15
8304	complexity of	15
8305	feature in	15
8306	in IoT	15
8307	a data-driven	15
8308	demand and	15
8309	of 5g	15
8310	to explore	15
8311	learning method	15
8312	and experiment	15
8313	growth of	15
8314	of accuracy	15
8315	user in	15
8316	industrial production	15
8317	to satisfy	15
8318	frequency regulation	15
8319	public key	15
8320	IIoT and	15
8321	user authentication	15
8322	proposed protocol	15
8323	protocol and	15
8324	a two-stage	15
8325	transmission of	15
8326	joint optimization	15
8327	attack 2005-2012	15
8328	employ a	15
8329	estimation error	15
8330	motivated by	15
8331	industry and	15
8332	constructed to	15
8333	to process	15
8334	to measure	15
8335	formulate a	15
8336	user privacy	15
8337	key management	15
8338	verified by	15
8339	attack detection	15
8340	of task	15
8341	datasets demonstrate	15
8342	attention mechanism	15
8343	penetration of	14
8344	is widely	14
8345	to describe	14
8346	decision tree	14
8347	and prediction	14
8348	structure is	14
8349	is investigated	14
8350	a crucial	14
8351	to adapt	14
8352	aspect of	14
8353	area of	14
8354	of node	14
8355	research work	14
8356	flexibility and	14
8357	a wireless	14
8358	communication system	14
8359	to calculate	14
8360	loss of	14
8361	group of	14
8362	proposed mechanism	14
8363	approach based	14
8364	communication overhead	14
8365	estimation of	14
8366	and provide	14
8367	attempt to	14
8368	implement a	14
8369	network topology	14
8370	to classify	14
8371	existing approach	14
8372	to use	14
8373	data center	14
8374	to propose	14
8375	dynamic of	14
8376	comparison to	14
8377	stability and	14
8378	a long	14
8379	of experiment	14
8380	error and	14
8381	a large-scale	14
8382	modeling and	14
8383	state and	14
8384	of patient	14
8385	is analyzed	14
8386	data management	14
8387	data integrity	14
8388	on different	14
8389	potential to	14
8390	development and	14
8391	approach ha	14
8392	of transmission	14
8393	of three	14
8394	of existing	14
8395	and complex	14
8396	utilization of	14
8397	a certain	14
8398	sharing and	14
8399	planning and	14
8400	to automatically	14
8401	cyber attack	14
8402	easy to	14
8403	safety and	14
8404	in power	14
8405	capability to	14
8406	advantage in	14
8407	adapt to	14
8408	social medium	14
8409	high performance	14
8410	utilized in	14
8411	is divided	14
8412	and compared	14
8413	processing of	14
8414	and safety	14
8415	management scheme	14
8416	training data	14
8417	view of	14
8418	detection algorithm	14
8419	first stage	14
8420	and key	14
8421	in 5g	14
8422	help to	14
8423	CNN model	14
8424	computing environment	14
8425	degree of	14
8426	established to	14
8427	component analysis	14
8428	and stability	14
8429	privacy issue	14
8430	task offloading	14
8431	robustness and	14
8432	node is	14
8433	datasets and	14
8434	electricity price	13
8435	allocation and	13
8436	possibility of	13
8437	dataset of	13
8438	of view	13
8439	participate in	13
8440	structure of	13
8441	addition to	13
8442	influence of	13
8443	pattern of	13
8444	usage of	13
8445	propose to	13
8446	status of	13
8447	is achieved	13
8448	and device	13
8449	of complex	13
8450	a power	13
8451	is no	13
8452	parameter and	13
8453	a local	13
8454	and convergence	13
8455	and channel	13
8456	existence of	13
8457	estimation and	13
8458	security threat	13
8459	cost in	13
8460	test system	13
8461	to balance	13
8462	use a	13
8463	and hence	13
8464	and process	13
8465	dataset and	13
8466	parameter in	13
8467	load and	13
8468	robust and	13
8469	is challenging	13
8470	of video	13
8471	good performance	13
8472	in healthcare	13
8473	stage of	13
8474	error of	13
8475	reduced by	13
8476	key challenge	13
8477	model on	13
8478	aiming to	13
8479	by introducing	13
8480	device ha	13
8481	OPC UA	13
8482	technology ha	13
8483	construction of	13
8484	proposed technique	13
8485	superior to	13
8486	solution in	13
8487	of computational	13
8488	and evaluated	13
8489	CSMA CA	13
8490	and flexible	13
8491	to schedule	13
8492	data exchange	13
8493	mathematical model	13
8494	prior knowledge	13
8495	error in	13
8496	noise and	13
8497	high efficiency	13
8498	parameter estimation	13
8499	is built	13
8500	framework of	13
8501	beacon node	13
8502	system based	13
8503	and time	13
8504	scalability and	13
8505	threat to	13
8506	strategy based	13
8507	close to	13
8508	real-world datasets	13
8509	among different	13
8510	management system	13
8511	production line	13
8512	secure data	13
8513	IIoT ha	13
8514	detection system	13
8515	to help	13
8516	d2d communication	13
8517	MEC system	13
8518	defect detection	13
8519	essential to	13
8520	a stochastic	13
8521	unmanned aerial	13
8522	aerial vehicle	13
8523	transfer learning	13
8524	blockchain is	13
8525	privacy concern	13
8526	challenging to	13
8527	trend of	13
8528	battery aging	13
8529	trustworthiness of	13
8530	blockchain to	13
8531	edge cloud	13
8532	sea clutter	13
8533	improved by	12
8534	electricity market	12
8535	presented and	12
8536	validity of	12
8537	is compared	12
8538	solved by	12
8539	response to	12
8540	on average	12
8541	depending on	12
8542	represented by	12
8543	and user	12
8544	transmission rate	12
8545	methodology is	12
8546	equipment and	12
8547	fast and	12
8548	novel approach	12
8549	extended to	12
8550	bandwidth and	12
8551	is suitable	12
8552	and make	12
8553	signal is	12
8554	layer of	12
8555	controller to	12
8556	wireless channel	12
8557	system cost	12
8558	determined by	12
8559	applicability of	12
8560	medical data	12
8561	size and	12
8562	consideration of	12
8563	of wind	12
8564	total energy	12
8565	consumption in	12
8566	a specific	12
8567	condition and	12
8568	network structure	12
8569	high computational	12
8570	evolution of	12
8571	learning and	12
8572	protocol to	12
8573	to derive	12
8574	work in	12
8575	strategy in	12
8576	time in	12
8577	various type	12
8578	inspection of	12
8579	filter is	12
8580	help of	12
8581	of low	12
8582	current and	12
8583	by and	12
8584	distributed and	12
8585	utilization and	12
8586	ha to	12
8587	focusing on	12
8588	challenge and	12
8589	a modified	12
8590	a lot	12
8591	to compensate	12
8592	stackelberg game	12
8593	is proved	12
8594	to reach	12
8595	is possible	12
8596	process a	12
8597	of communication	12
8598	environment in	12
8599	to accelerate	12
8600	IoT system	12
8601	power distribution	12
8602	real-time traffic	12
8603	developed a	12
8604	is needed	12
8605	network ha	12
8606	environment is	12
8607	of attack	12
8608	people s	12
8609	and robust	12
8610	is secure	12
8611	ha better	12
8612	of traffic	12
8613	performed to	12
8614	manufacturing and	12
8615	video surveillance	12
8616	deployed to	12
8617	real-world data	12
8618	and superiority	12
8619	perspective of	12
8620	network edge	12
8621	driving behavior	12
8622	is becoming	12
8623	performance compared	12
8624	and accurate	12
8625	a nonlinear	12
8626	ha received	12
8627	real-time monitoring	12
8628	to apply	12
8629	u to	12
8630	heterogeneous network	12
8631	second stage	12
8632	to accurately	12
8633	IoT node	12
8634	application scenario	12
8635	a common	12
8636	content delivery	12
8637	NP hard	12
8638	may not	12
8639	dynamic model	12
8640	network a	12
8641	to share	12
8642	model ha	12
8643	state-of-the-art approach	12
8644	spectrum sensing	12
8645	proposed by	12
8646	feature representation	12
8647	prediction performance	12
8648	architecture and	12
8649	IoT environment	12
8650	and edge	12
8651	scalability of	12
8652	novel framework	12
8653	IoT based	12
8654	trust of	12
8655	pose a	12
8656	to secure	12
8657	article to	12
8658	6G enabled	12
8659	healthcare service	12
8660	source and	11
8661	and monitoring	11
8662	framework 2005-2012	11
8663	reduction in	11
8664	of current	11
8665	period of	11
8666	consider a	11
8667	training process	11
8668	characteristic and	11
8669	introduction of	11
8670	frequency of	11
8671	scenario of	11
8672	spatial and	11
8673	considered to	11
8674	time slot	11
8675	a fully	11
8676	theory and	11
8677	lie in	11
8678	is highly	11
8679	convergence rate	11
8680	layer and	11
8681	and evaluate	11
8682	a realistic	11
8683	and real	11
8684	channel state	11
8685	optimization framework	11
8686	by comparing	11
8687	work on	11
8688	scheduling in	11
8689	to transfer	11
8690	consumption by	11
8691	kalman filter	11
8692	and increase	11
8693	detection rate	11
8694	and analysis	11
8695	a typical	11
8696	strategy of	11
8697	experiment demonstrate	11
8698	and tested	11
8699	charging station	11
8700	framework and	11
8701	a huge	11
8702	learning is	11
8703	is reduced	11
8704	to recognize	11
8705	fail to	11
8706	evaluation and	11
8707	scheduling problem	11
8708	task a	11
8709	a proper	11
8710	service is	11
8711	healthcare industry	11
8712	healthcare application	11
8713	measurement and	11
8714	collected data	11
8715	and compare	11
8716	to complete	11
8717	DoS attack	11
8718	a unified	11
8719	in network	11
8720	addressed in	11
8721	mobile node	11
8722	inspired by	11
8723	time delay	11
8724	packet loss	11
8725	validation of	11
8726	a solution	11
8727	communication is	11
8728	and support	11
8729	quality and	11
8730	topology and	11
8731	achieve high	11
8732	to ass	11
8733	industrial scenario	11
8734	interference and	11
8735	of traditional	11
8736	and comparison	11
8737	to industrial	11
8738	version of	11
8739	conducted in	11
8740	by simulation	11
8741	computational burden	11
8742	classification method	11
8743	proposed methodology	11
8744	sample and	11
8745	specifically a	11
8746	position and	11
8747	of individual	11
8748	classification accuracy	11
8749	a global	11
8750	cloud to	11
8751	knowledge of	11
8752	and temporal	11
8753	available to	11
8754	access and	11
8755	efficiency 2005-2012	11
8756	extraction and	11
8757	and IoT	11
8758	a powerful	11
8759	is realized	11
8760	security requirement	11
8761	proposed architecture	11
8762	image processing	11
8763	to get	11
8764	module and	11
8765	in view	11
8766	becomes a	11
8767	authentication protocol	11
8768	is solved	11
8769	allocation scheme	11
8770	a mobile	11
8771	evaluated by	11
8772	electricity consumption	11
8773	security challenge	11
8774	significant role	11
8775	authentication scheme	11
8776	wa proposed	11
8777	to resolve	11
8778	device a	11
8779	raw data	11
8780	allocation problem	11
8781	soft sensor	11
8782	thermal image	11
8783	and operation	11
8784	of computing	11
8785	a security	11
8786	policy and	11
8787	edge service	11
8788	of fault	11
8789	advancement of	11
8790	blockchain network	11
8791	respectively 2005-2012	11
8792	a blockchain	11
8793	in cloud	11
8794	wearable device	11
8795	DDoS attack	11
8796	edge and	11
8797	dataset demonstrate	11
8798	article in	11
8799	monitoring method	11
8800	article aim	11
8801	IoT data	11
8802	method outperforms	11
8803	sliding mode	11
8804	MEC server	11
8805	fault location	11
8806	task allocation	11
8807	poisoning attack	11
8808	quality prediction	11
8809	of electric	10
8810	constraint in	10
8811	acquisition and	10
8812	formulation of	10
8813	battery and	10
8814	reduction of	10
8815	contribution of	10
8816	prediction is	10
8817	by reducing	10
8818	a simulation	10
8819	referred to	10
8820	low power	10
8821	a performance	10
8822	model a	10
8823	performance degradation	10
8824	attack is	10
8825	reduce energy	10
8826	achieves a	10
8827	operation in	10
8828	create a	10
8829	real-time application	10
8830	concern in	10
8831	develops a	10
8832	of dynamic	10
8833	connected to	10
8834	in energy	10
8835	offer a	10
8836	game theory	10
8837	to utilize	10
8838	rate in	10
8839	of electricity	10
8840	to participate	10
8841	not require	10
8842	in practical	10
8843	energy flow	10
8844	network lifetime	10
8845	nash equilibrium	10
8846	experiment based	10
8847	consumer and	10
8848	a practical	10
8849	system operation	10
8850	involved in	10
8851	efficacy of	10
8852	by applying	10
8853	performance metric	10
8854	algorithm called	10
8855	however in	10
8856	classification of	10
8857	communication channel	10
8858	task is	10
8859	loss and	10
8860	is carried	10
8861	model by	10
8862	simulation study	10
8863	various industrial	10
8864	design is	10
8865	is provided	10
8866	constraint is	10
8867	low cost	10
8868	and fast	10
8869	signal and	10
8870	challenging due	10
8871	similar to	10
8872	temporal correlation	10
8873	a node	10
8874	detect and	10
8875	diagnosis and	10
8876	first time	10
8877	evaluated on	10
8878	data stream	10
8879	learning process	10
8880	mechanism of	10
8881	transmission line	10
8882	and deployment	10
8883	industry however	10
8884	emerged a	10
8885	of simulation	10
8886	us a	10
8887	in time	10
8888	therefore a	10
8889	and use	10
8890	needed to	10
8891	important issue	10
8892	to deploy	10
8893	and therefore	10
8894	programming problem	10
8895	channel and	10
8896	existing research	10
8897	challenging problem	10
8898	element of	10
8899	system design	10
8900	class of	10
8901	to form	10
8902	is superior	10
8903	research on	10
8904	multiple access	10
8905	infrastructure and	10
8906	a communication	10
8907	robustness to	10
8908	estimated by	10
8909	data flow	10
8910	physical system	10
8911	of urban	10
8912	characterized by	10
8913	verification and	10
8914	of manufacturing	10
8915	and even	10
8916	to existing	10
8917	superiority in	10
8918	regarded a	10
8919	network performance	10
8920	and actuator	10
8921	make use	10
8922	to allow	10
8923	extensive experimental	10
8924	remains a	10
8925	selection of	10
8926	value and	10
8927	used by	10
8928	built on	10
8929	dynamic programming	10
8930	is generated	10
8931	damage to	10
8932	feature learning	10
8933	sensory data	10
8934	proof of	10
8935	high reliability	10
8936	and provides	10
8937	scheduling policy	10
8938	to operate	10
8939	sequence of	10
8940	to diagnose	10
8941	demonstrated by	10
8942	challenging issue	10
8943	operation is	10
8944	important to	10
8945	optimization technique	10
8946	by adopting	10
8947	identification and	10
8948	a fog	10
8949	and analyze	10
8950	of great	10
8951	development in	10
8952	system architecture	10
8953	search and	10
8954	nondominated sorting	10
8955	and different	10
8956	and online	10
8957	of medical	10
8958	train a	10
8959	IoT ha	10
8960	analyze and	10
8961	and classification	10
8962	time 2005-2012	10
8963	of PV	10
8964	environment a	10
8965	computing is	10
8966	academia and	10
8967	computation cost	10
8968	robot in	10
8969	in three	10
8970	three different	10
8971	industry to	10
8972	computing to	10
8973	is significantly	10
8974	device-to-device d2d	10
8975	privacy in	10
8976	and privacy-preserving	10
8977	to store	10
8978	upper bound	10
8979	sensing task	10
8980	mobility and	10
8981	is integrated	10
8982	server to	10
8983	cellular network	10
8984	function is	10
8985	resource-constrained device	10
8986	and task	10
8987	architecture of	10
8988	traditional method	10
8989	allocation in	10
8990	conduct a	10
8991	scenario 2005-2012	10
8992	mutual authentication	10
8993	a vital	10
8994	data aggregation	10
8995	of modern	10
8996	of human	10
8997	authentication mechanism	10
8998	to cloud	10
8999	data mining	10
9000	however existing	10
9001	intrusion detection	10
9002	smart industrial	10
9003	vehicle UAV	10
9004	wireless node	10
9005	healthcare data	10
9006	image is	10
9007	objective is	9
9008	approach of	9
9009	and consumer	9
9010	network based	9
9011	recognized a	9
9012	identification of	9
9013	of battery	9
9014	give a	9
9015	top of	9
9016	a fuzzy	9
9017	algorithm wa	9
9018	a flexible	9
9019	output voltage	9
9020	property in	9
9021	validated by	9
9022	developed by	9
9023	wa developed	9
9024	industrial communication	9
9025	component and	9
9026	a numerical	9
9027	and measurement	9
9028	critical to	9
9029	a feature	9
9030	real-time communication	9
9031	sensor node	9
9032	deployment in	9
9033	in multiple	9
9034	power generation	9
9035	distribution in	9
9036	to integrate	9
9037	and minimize	9
9038	constraint to	9
9039	and maintain	9
9040	investigated in	9
9041	distributed algorithm	9
9042	first propose	9
9043	management in	9
9044	cost to	9
9045	load balance	9
9046	measurement of	9
9047	delay of	9
9048	transmission is	9
9049	aimed at	9
9050	hardware and	9
9051	low computational	9
9052	algorithm ha	9
9053	and on	9
9054	flexible and	9
9055	principal component	9
9056	affected by	9
9057	is determined	9
9058	well in	9
9059	clustering algorithm	9
9060	behavior and	9
9061	finally extensive	9
9062	a medical	9
9063	is mainly	9
9064	a higher	9
9065	matrix is	9
9066	and implementation	9
9067	make a	9
9068	requires a	9
9069	is made	9
9070	training and	9
9071	and heterogeneous	9
9072	cognitive radio	9
9073	of time	9
9074	leveraged to	9
9075	of learning	9
9076	performs better	9
9077	promising technology	9
9078	internet and	9
9079	exploited to	9
9080	mechanism based	9
9081	performance to	9
9082	huge amount	9
9083	public datasets	9
9084	covariance matrix	9
9085	and better	9
9086	static and	9
9087	patient and	9
9088	existing solution	9
9089	delay is	9
9090	system state	9
9091	and packet	9
9092	more flexible	9
9093	to introduce	9
9094	smart home	9
9095	and efficiently	9
9096	flexibility of	9
9097	a central	9
9098	distributed system	9
9099	in turn	9
9100	transmission in	9
9101	real data	9
9102	stable and	9
9103	is increased	9
9104	conventional method	9
9105	and wireless	9
9106	protocol in	9
9107	to carry	9
9108	industry is	9
9109	mobile network	9
9110	commonly used	9
9111	line and	9
9112	vehicular network	9
9113	computing in	9
9114	of physical	9
9115	and embedded	9
9116	of CPS	9
9117	and future	9
9118	developed based	9
9119	in providing	9
9120	is robust	9
9121	provider and	9
9122	cell and	9
9123	excellent performance	9
9124	creating a	9
9125	different fault	9
9126	current signal	9
9127	to adjust	9
9128	disturbance and	9
9129	estimation in	9
9130	model parameter	9
9131	time synchronization	9
9132	server and	9
9133	of input	9
9134	and tracking	9
9135	of proposed	9
9136	aim of	9
9137	a public	9
9138	to power	9
9139	support of	9
9140	energy supply	9
9141	on three	9
9142	may lead	9
9143	utility and	9
9144	software-defined network	9
9145	more suitable	9
9146	of distribution	9
9147	increase of	9
9148	based application	9
9149	a cloud	9
9150	is optimized	9
9151	to several	9
9152	position of	9
9153	issue to	9
9154	system s	9
9155	a fundamental	9
9156	experiment to	9
9157	mechanism in	9
9158	important in	9
9159	social network	9
9160	produced by	9
9161	assistance of	9
9162	crucial to	9
9163	to search	9
9164	learning model	9
9165	high energy	9
9166	designed and	9
9167	cyber threat	9
9168	security model	9
9169	scale and	9
9170	of 2005-2012	9
9171	analysis to	9
9172	service a	9
9173	product quality	9
9174	a highly	9
9175	location privacy	9
9176	attack to	9
9177	IIoT a	9
9178	cost is	9
9179	embedded in	9
9180	spectrum and	9
9181	recent advance	9
9182	accurately and	9
9183	is usually	9
9184	data packet	9
9185	embedded system	9
9186	massive data	9
9187	scenario to	9
9188	key component	9
9189	providing a	9
9190	data confidentiality	9
9191	connected device	9
9192	and computing	9
9193	scheme ha	9
9194	existing algorithm	9
9195	access network	9
9196	effective in	9
9197	of visual	9
9198	is addressed	9
9199	algorithm by	9
9200	to eliminate	9
9201	in achieving	9
9202	interaction of	9
9203	by providing	9
9204	fifth generation	9
9205	ad hoc	9
9206	of fog	9
9207	fog node	9
9208	consumption 2005-2012	9
9209	scheme achieves	9
9210	and design	9
9211	increasing attention	9
9212	defect in	9
9213	of nonlinear	9
9214	deep network	9
9215	secret sharing	9
9216	traffic management	9
9217	key to	9
9218	data-driven method	9
9219	mobile user	9
9220	significantly reduce	9
9221	lyapunov optimization	9
9222	significantly improves	9
9223	stored in	9
9224	IIoT to	9
9225	deployment and	9
9226	health monitoring	9
9227	technique 2005-2012	9
9228	data set	9
9229	of cyber	9
9230	mobile edge	9
9231	network slicing	9
9232	in edge	9
9233	IIoT architecture	9
9234	industrial intelligence	9
9235	a trust	9
9236	computing power	9
9237	malicious attack	9
9238	reputation system	9
9239	scale of	9
9240	to preserve	9
9241	a privacy-preserving	9
9242	diversity of	9
9243	is vulnerable	9
9244	loss function	9
9245	method called	9
9246	security performance	9
9247	benchmark datasets	9
9248	distribution and	9
9249	trust evaluation	9
9250	and blockchain	9
9251	IIoT however	9
9252	critical infrastructure	9
9253	predictive maintenance	9
9254	article introduces	9
9255	formulated problem	9
9256	time is	9
9257	offloading and	9
9258	charging demand	9
9259	traffic prediction	9
9260	forest fire	9
9261	allocation strategy	9
9262	IIoT traffic	9
9263	web social	9
9264	time a	8
9265	without affecting	8
9266	mixed integer	8
9267	point in	8
9268	more complex	8
9269	of solar	8
9270	and find	8
9271	processing time	8
9272	EV charging	8
9273	evolutionary algorithm	8
9274	fuel cell	8
9275	supply and	8
9276	measurement data	8
9277	in manufacturing	8
9278	and software	8
9279	real-time industrial	8
9280	a generic	8
9281	achieved by	8
9282	coverage of	8
9283	a methodology	8
9284	becoming increasingly	8
9285	overhead of	8
9286	may cause	8
9287	fully distributed	8
9288	social welfare	8
9289	of operation	8
9290	to keep	8
9291	is studied	8
9292	a group	8
9293	price and	8
9294	speed of	8
9295	medium access	8
9296	network coding	8
9297	platform and	8
9298	machine and	8
9299	high penetration	8
9300	to directly	8
9301	utility company	8
9302	energy scheduling	8
9303	formulated and	8
9304	includes a	8
9305	system security	8
9306	different scenario	8
9307	sink node	8
9308	lifetime of	8
9309	and localization	8
9310	condition to	8
9311	data 2005-2012	8
9312	experimental evaluation	8
9313	design to	8
9314	a maximum	8
9315	wireless link	8
9316	s data	8
9317	scheduling scheme	8
9318	scheme outperforms	8
9319	and analyzed	8
9320	effectively and	8
9321	power network	8
9322	alternative to	8
9323	order of	8
9324	growth in	8
9325	predictive model	8
9326	study and	8
9327	demand in	8
9328	era of	8
9329	widely applied	8
9330	of model	8
9331	estimation is	8
9332	of failure	8
9333	establishing a	8
9334	efficient in	8
9335	great potential	8
9336	potential in	8
9337	manner in	8
9338	point cloud	8
9339	recent development	8
9340	and solved	8
9341	developed and	8
9342	vehicle to	8
9343	cause of	8
9344	achieves high	8
9345	detection performance	8
9346	constructed by	8
9347	and local	8
9348	to fully	8
9349	low energy	8
9350	and feature	8
9351	prediction error	8
9352	even if	8
9353	direction and	8
9354	to fulfill	8
9355	thanks to	8
9356	optimal policy	8
9357	security attack	8
9358	and authentication	8
9359	proliferation of	8
9360	taking advantage	8
9361	collision avoidance	8
9362	method named	8
9363	proposed first	8
9364	coverage and	8
9365	fault and	8
9366	sensitivity of	8
9367	signal to	8
9368	and nonlinear	8
9369	consist of	8
9370	of some	8
9371	interaction among	8
9372	fluctuation of	8
9373	by implementing	8
9374	uncertainty in	8
9375	scope of	8
9376	of optimal	8
9377	prototype system	8
9378	led to	8
9379	generation is	8
9380	increasingly important	8
9381	and share	8
9382	pattern and	8
9383	user preference	8
9384	waiting time	8
9385	is trained	8
9386	and at	8
9387	solution a	8
9388	of minimizing	8
9389	real-time and	8
9390	privacy data	8
9391	a hot	8
9392	technique ha	8
9393	composed of	8
9394	condition monitoring	8
9395	validated on	8
9396	a linear	8
9397	is defined	8
9398	ha high	8
9399	is estimated	8
9400	quantity of	8
9401	reduction and	8
9402	voltage regulation	8
9403	traffic and	8
9404	analyzed and	8
9405	industry ha	8
9406	ha emerged	8
9407	is efficient	8
9408	significantly reduced	8
9409	in advance	8
9410	advance of	8
9411	method cannot	8
9412	based method	8
9413	method by	8
9414	and demand	8
9415	historical data	8
9416	to extend	8
9417	of internet	8
9418	end user	8
9419	some of	8
9420	a standard	8
9421	to user	8
9422	to study	8
9423	prediction and	8
9424	a tradeoff	8
9425	and diverse	8
9426	example of	8
9427	adopted in	8
9428	and sensor	8
9429	health care	8
9430	network data	8
9431	computing paradigm	8
9432	execution time	8
9433	three phase	8
9434	and quality	8
9435	search space	8
9436	and scheduling	8
9437	rate is	8
9438	accuracy is	8
9439	battery capacity	8
9440	incremental learning	8
9441	deviation of	8
9442	energy to	8
9443	integrity of	8
9444	data at	8
9445	cloud platform	8
9446	and achieves	8
9447	confidentiality of	8
9448	concern of	8
9449	and frequency	8
9450	product and	8
9451	a user	8
9452	detection approach	8
9453	a learning	8
9454	stage a	8
9455	medical image	8
9456	blood glucose	8
9457	use in	8
9458	isoelectric line	8
9459	in future	8
9460	a service	8
9461	key role	8
9462	mobile communication	8
9463	mobile robot	8
9464	flow of	8
9465	to accommodate	8
9466	end in	8
9467	and numerical	8
9468	electricity theft	8
9469	model outperforms	8
9470	consortium blockchain	8
9471	to jointly	8
9472	load in	8
9473	of green	8
9474	key technology	8
9475	emerging technology	8
9476	computing capability	8
9477	linear programming	8
9478	and evaluation	8
9479	various industry	8
9480	and accuracy	8
9481	intelligent vehicle	8
9482	resolution of	8
9483	take advantage	8
9484	to test	8
9485	critical challenge	8
9486	of malicious	8
9487	based system	8
9488	to many	8
9489	edge server	8
9490	experiment and	8
9491	and retrieval	8
9492	require a	8
9493	platform to	8
9494	estimation accuracy	8
9495	to transform	8
9496	experiment conducted	8
9497	network function	8
9498	area to	8
9499	and accurately	8
9500	experimental study	8
9501	selection and	8
9502	overall system	8
9503	robotic arm	8
9504	collect and	8
9505	to promote	8
9506	a great	8
9507	network model	8
9508	anonymous authentication	8
9509	deployed on	8
9510	achieving a	8
9511	study a	8
9512	optimization in	8
9513	principle of	8
9514	bound of	8
9515	health data	8
9516	of health	8
9517	to offload	8
9518	computational and	8
9519	importance of	8
9520	and guarantee	8
9521	novel method	8
9522	detection model	8
9523	node a	8
9524	data analytics	8
9525	challenge a	8
9526	found to	8
9527	working condition	8
9528	to fill	8
9529	CNN and	8
9530	sufficient condition	8
9531	recognition and	8
9532	of advanced	8
9533	real-time requirement	8
9534	industrial equipment	8
9535	availability and	8
9536	CNN based	8
9537	running time	8
9538	blockchain ha	8
9539	integrity and	8
9540	EVs and	8
9541	sharing scheme	8
9542	GPSR 3d	8
9543	at least	8
9544	set to	8
9545	real-world dataset	8
9546	a heterogeneous	8
9547	update and	8
9548	mobile crowdsensing	8
9549	visual attention	8
9550	image to	8
9551	ha higher	8
9552	data protection	8
9553	and feasibility	8
9554	unlabeled data	8
9555	is and	8
9556	detection scheme	8
9557	sharing of	8
9558	privacy to	8
9559	time complexity	8
9560	by IIoT	8
9561	computation task	8
9562	spectrum access	8
9563	target domain	8
9564	different device	8
9565	ML model	8
9566	convergence and	8
9567	and long	8
9568	joint angle	8
9569	smart healthcare	8
9570	edge network	8
9571	FL framework	8
9572	sport facility	8
9573	IoT botnet	8
9574	energy demand	7
9575	to more	7
9576	made by	7
9577	enabling technology	7
9578	application is	7
9579	variable in	7
9580	sampling rate	7
9581	objective function	7
9582	of several	7
9583	system stability	7
9584	a decision	7
9585	last year	7
9586	and distribution	7
9587	unit and	7
9588	forecasting model	7
9589	error is	7
9590	controller in	7
9591	in accordance	7
9592	of experimental	7
9593	experiment in	7
9594	and by	7
9595	a special	7
9596	previous study	7
9597	to deliver	7
9598	to distinguish	7
9599	multiple classification	7
9600	is especially	7
9601	industrial and	7
9602	set up	7
9603	a unique	7
9604	wa tested	7
9605	methodology to	7
9606	cycle time	7
9607	increasingly popular	7
9608	priority and	7
9609	is described	7
9610	is increasingly	7
9611	feasible solution	7
9612	normal operation	7
9613	sensor is	7
9614	to fit	7
9615	a in	7
9616	to another	7
9617	and customer	7
9618	a fair	7
9619	theory to	7
9620	demand to	7
9621	value in	7
9622	signal of	7
9623	is fully	7
9624	energy usage	7
9625	dependent on	7
9626	analytical model	7
9627	and medical	7
9628	in high	7
9629	decision in	7
9630	framework named	7
9631	analysis in	7
9632	velocity and	7
9633	inspection and	7
9634	power is	7
9635	is taken	7
9636	installed in	7
9637	temperature and	7
9638	a commercial	7
9639	occurrence of	7
9640	voltage and	7
9641	and current	7
9642	is often	7
9643	many application	7
9644	a target	7
9645	to exploit	7
9646	strength of	7
9647	derived and	7
9648	a simplified	7
9649	by analyzing	7
9650	capability and	7
9651	a three-dimensional	7
9652	reconstructed image	7
9653	to quantify	7
9654	input data	7
9655	delivery of	7
9656	supplier and	7
9657	a cyber-physical	7
9658	system CPS	7
9659	in nature	7
9660	experiment 2005-2012	7
9661	battery life	7
9662	performance by	7
9663	a particular	7
9664	and avoid	7
9665	performed in	7
9666	and cannot	7
9667	sensor device	7
9668	including a	7
9669	advancement in	7
9670	of cancer	7
9671	help in	7
9672	to assist	7
9673	to high	7
9674	wa evaluated	7
9675	accuracy in	7
9676	introduced in	7
9677	to lower	7
9678	operator and	7
9679	flexible manufacturing	7
9680	total power	7
9681	hard problem	7
9682	trajectory of	7
9683	vehicle s	7
9684	accurate prediction	7
9685	robotic system	7
9686	to locate	7
9687	to track	7
9688	ratio of	7
9689	some existing	7
9690	of networked	7
9691	actuator fault	7
